,link,Titles,Abstracts
0,https://www.sciencedirect.com/science/article/pii/S2352485522000251,[ Advances in the study of coastal processes in the continental Colombian Caribbean coast ],"[ This paper reviews the state of scientific knowledge on coastal processes in the continental Colombian Caribbean Coast. The covered topics include the research advances on estuarine dynamics , wave climate, and coastline evolution in the region. This review aims to offer an updated baseline on the topics and sites that have been more explored by coastal scientists and those who need more efforts in short- to mid-term. The extensive analysis of peer-reviewed literature carried out here shows that river mouths are the most studied coastal systems in the region, together with the coastal sectors near the largest cities. On the contrary, national parks and pristine areas with high environmental value are barely studied. Finally, a vision from the author’s perspective on important physical-coastal and transdisciplinary issues to be addressed in the upcoming years is presented. ]"
1,https://www.sciencedirect.com/science/article/pii/S0272771420308982,[ Seabird influence on ecological processes in coastal marine ecosystems: An overlooked role? A critical review ],"[ Highlights Seabirds contribute to inter-habitat connectivity at global scale. Seabird influence on coastal systems is overlooked compared to terrestrial systems. Seabirds greatly influence ecological processes and functioning of recipient systems. Seabird functions influence the provision of many ecosystem services. More studies are needed to improve the knowledge in this field. , Seabirds are vital, but overlooked, components of coastal marine ecosystems and may connect the marine and terrestrial environment at a global scale, significantly contributing to inter-habitat connectivity and the provision of multiple ecosystem services. Although the ecological and functional role of birds in terrestrial areas , islands in particular, has been deeply studied since the last century, the same does not hold true for coastal marine areas. Given the importance of coastal areas for seabirds worldwide and, at the same time, the high vulnerability of both, looking into the role of seabirds in influencing the ecosystem functioning in coastal areas is needed nowadays. Here, we review the current knowledge regarding the role of seabirds on coastal ecological processes giving particular emphasis on the linkage between the seabird functions that are crucial in influencing the ecological processes and the provision of ecosystem services, and disservices, for the human well-being. Seabirds can contribute to shaping coastal ecological processes and services in a multitude of ways, among which directly influencing trophic status , environmental contamination, biodiversity and food webs through trophic (bottom-up or top-down) and non-trophic processes. We identified areas for future research to further clarify this linkage and promote seabird conservation. ]"
2,https://www.sciencedirect.com/science/article/pii/S0012825217303161,[ Process-based indicators to assess storm induced coastal hazards ],"[ Storms are responsible for several hazards (e.g. overwash , erosion, inundation) in coastal areas, leading to the destruction of property and loss of life in populated areas. Various indicators are used to express potential storm impact and describe the associated hazards. The most commonly used indicators include either forcing parameters (e.g. wave height, sea level) or coastal morphologies (e.g. dune height or berm width). Whereas they do not represent the processes associated with storm induced hazards in coastal areas. Alternatively, a hazard could be better characterised if process-based indicators are used instead. Process-based indicators express the result of the forcing mechanisms acting over the coastal morphology and reflect both hydrodynamic and morphological characteristics. This work discusses and synthesizes the most relevant process-based indicators for sandy shores subject to overwash , erosion and inundation promoted by storms. Those include: overwash depth, potential and extent; shoreline , berm or dune retreat; vertical erosion; and inundation depth and extent. The selection of a reduced set of process-based indicators to identify coastal hazards induced by storms in sandy coasts will facilitate comparison of different coastal behaviours for distinct storm return periods, and help to optimise coastal management plans, thereby contributing to the reduction of coastal risks. ]"
3,https://www.sciencedirect.com/science/article/pii/S0964569113000367,[ Historical antecedents and local governance in the process of public policies building for coastal zone of Brazil ],"[ Brazil has a very big coastal zone of approximately 514.000 km 2 that embraces 397 municipalities in 17 coastal states. Its diversified area supports high variability of socio–economics activities leading to serious conflicts in terms of coastal space and resources competition in an intensive human occupation context. This paper describes the past and present processes of coastal planning in Brazil and its mechanism towards the establishment of a costal management mode, capable to assure the desired sustainable development of the coast. It explains the policy trajectory of coastal Brazil and the way in which it is intended to be integrated into the national socio-political system. The National Policy for Sea Resources (PNRM) was a significant advance in organizing the multiple uses of the coastal and marine zones of Brazil. Established in the 1980s, the PNRM has been reviewed bi-annually through new proposed action plans. The Brazilian Costal Management Plan is analyzed trying to highlight the role of coastal municipalities in the planning and management processes. The role of local communities and municipalities in building public policies and management processes is still weak in Brazil and possibly can be enhanced with a better evaluation model and increasing local participation. ]"
4,https://www.sciencedirect.com/science/article/pii/S0022169408005945,"[ Hydrochemical and isotopical evidence of ground water salinization processes on the coastal plain of Samborombón Bay, Argentina ]","[ Salinization in coastal areas of the province of Buenos Aires, Argentina, is a controlling factor of water quality, and limits its exploitation for human uses and local ecological values. Coastal plains such as the one in the southern part of Samborombón Bay have a tidal morphology consisting of fine sediment deposits, tidal channels, and aeolian sand sheets, each of them playing a hydrological role. In this paper, we describe the hydrological processes in the Samborombón Bay coastal plain using hydrochemical and isotopical data to provide evidence of salinization processes. Specific ionic relationships for surface and ground water samples from each formation are differ from those of sea water. Isotopic data also reveal infrequent participation of sea water in the coastal area water samples, showing an evaporation trend in both surface and ground water. We conclude that salinization has its origin in the occurrence of gypsum and halite, as well as other chlorides, from the coastal plain deposits. Rainfall recharge, continental water inputs, evaporation and long residence times define the hydrochemical and isotopical features of ground water, which shows no signs of present sea water contribution. Sand sheets constitute local aquifers with lower salinity content. Continental surface waters, as well as rainfall drainage via tidal channels, have a dominant effect on surface water hydrochemistry notwithstanding tidal oscillations. Exploitation of water resources is thus limited to regionally extended aeolian sand sheet formations and to surface waters, specifically those related to contributions of freshwater discharge from inland areas. ]"
5,https://www.sciencedirect.com/science/article/pii/S0169555X11005630,"[ Coastal barriers — Nomenclature, processes, and classification issues ]","[ The designation “coastal barrier”, related terms and their varied interpretations, and critical concepts in coastal plain and nearshore geology, underwent numerous reincarnations over the years. This designation was first applied to shore-parallel sand and gravel-built ocean-front islands and spits that separate open marine environments from paralic inshore environments that they shelter. A more recently recognized third category includes mainland strandplain, chenier, and dunefield barriers, either as original components of mainland coasts or subsequently welded to the coastal plain. A parallel but closely related terminology, developed mostly in Australia and Brazil, identifies several specific process categories recognizable in the three basic barrier groups. In the absence of lagoons and tidal wetlands, shore ridges that front and are contiguous with the mainland coastal plain have been mistakenly assigned to the barrier island category. Greatly diminished wave energy and consequently minor littoral drift volumes account for the relative rarity and much smaller dimensions of prograded landforms in estuarine islands and bay shore beaches in paralic-inshore basins. Due to wave and related littoral drift processes, however diminished in comparison with open marine shores, morphological similarities between aggraded landforms of open marine through estuarine settings are to be expected. However, the multitude of proposed “fetch-limited”, diminished wave energy estuarine islands, characterized by diminutive narrow beaches, sand spits, even occasional small dunes, and miniature strandplains, lack the essential functional attributes intrinsic to true barrier islands. While barrier islands may form even on relatively low wave energy and/or sediment-deficient marine shores, the term is inappropriate for islands located in low-energy paralic basins, including estuaries, or in coastal plains where frontal shore ridges are not backed by lagoons. Landforms erroneously ascribed in a variety of facies settings as barrier islands or islands frequently are mainland-attached beach ridge plains or beach-fringed marshlands instead. Narrow marshland beaches and mainland strandplain barriers are segmented into short islands by intervening narrow tidal creeks, fluvial distributary channels, or storm cuts that separate them. Improved fundamental and functional definitions of barrier islands, their comparison with the many genetic categories of islands and mainland shore beaches found in estuarine basins and wetlands should lead to a better understanding of paralic island evolution processes on the global scale. ]"
6,https://www.sciencedirect.com/science/article/pii/S0025326X22004611,"[ Sources, behaviors, transformations, and environmental risks of organophosphate esters in the coastal environment: A review ]","[ Highlights The coastal environment is an important sink of organophosphate esters (OPEs). OPEs concentrations in the coastal environment are much higher than open ocean. OPEs exist in various environmental media including air, seawater, and sediment. The bioaccumulation of OPEs has been observed in coastal biota. OPEs can be distributed remotely through atmospheric and ocean transports. , The rapid growth in the global production of organophosphate esters (OPEs) has resulted in their high environmental concentrations. The low removal rate of OPEs makes the effluents of wastewater treatment plants be one of the major sources of OPEs. Due to relatively high solubility and mobility, OPEs can be carried to the coastal environment through river discharge and atmospheric deposition . Therefore, the coastal environment can be an important OPE sink. Previous studies have shown that OPEs were widely detected in coastal atmospheres, water, sediments, and even aquatic organisms. OPEs can undergo various environmental processes in the coastal environment, including adsorption/desorption, air–water exchange, and degradation. In addition, bioaccumulation of OPEs was observed in coastal biota but current concentrations would not cause significant ecological risks. More efforts are required to understand the environmental behaviors of OPEs and address resultant environmental and health risks, especially in the complicated environment. ]"
7,https://www.sciencedirect.com/science/article/pii/S1877343512000590,[ Measuring and understanding sustainability-enhancing processes in tropical coastal and marine social–ecological systems ],"[ Tropical coastal and marine social–ecological systems (CM-SES) are diverse, complex and dynamic, facing special challenges as hotspots of biodiversity and centres of population growth. Sustainability science focuses on the state of such systems and mostly analyses undesirable social–ecological outcomes. In a collaborative effort between natural and social scientists, this paper examines not only key indicators for identifying the states of CM-SES but puts major emphasis on examining the processes that support sustainable tropical CM-SES dynamics. We identify a number of processes that drive desirable social–ecological dynamics, link the debates on ecosystem services and social–ecological systems analysis and offer a framework for identifying the links between key social–ecological processes. The article suggests linking relevant knowledge production processes and other sustainability-enhancing processes to each other and indicates related research needs. ]"
8,https://www.sciencedirect.com/science/article/pii/S0044848615300636,[ Assessment of impact of shrimp farming on coastal groundwater using Geographical Information System based Analytical Hierarchy Process ],"[ Highlights GIS based AHP method has been used for the selection of groundwater sampling units. 29 wells were identified using this new methodology under three priority classes. pH, EC, TDS, and Cl of groundwater were monitored for 2 years. Study revealed that the variation in groundwater quality is independent of aqua farms. , Impact assessment of shrimp farming on groundwater needs selection of representative sampling units. In the coastal region, complex sources invariably influence the groundwater flow and its quality. This warrants multicriteria evaluation techniques consequent to which Geographical Information System (GIS) based Analytical Hierarchy Process (AHP) was used for the selection of groundwater sampling units in an effort to assess the impact of shrimp farming. Thematic maps of eight base layers viz. distance from the aquaculture ponds, drainage pattern in the study area, lineament, soil texture, slope, landuse/landcover, geomorphology and lithology were prepared using ARCGIS 10 as these were the main factors that could impact groundwater quality. Information on the relative importance of the evaluation criteria was obtained by assigning weights to each criterion defined by pairwise comparison for all the above eight factors. Pairwise comparison revealed that the consistency ratio was less than the threshold value (0.1) indicating perfection in comparison of each evaluation criterion. Eight criteria of distance, seven criteria of drainage, three criteria of lineament, seven criteria of soil, eight criteria of landuse, three criteria of slope, seven criteria of geomorphology and five criteria of geology were computed and combined to develop a priority classification map related to the influence of brackish water aquaculture on the salinisation of the groundwater in an effort to precisely assess the impact. On analysis, 29 sampling well locations were identified with three priority classes viz., (i) high priority (10), (ii) moderate priority (13) and (iii) low priority (6). Groundwater samples from all these sampling units were collected bimonthly starting from October 2011 till June 2013 and analyzed for pH, electrical conductivity (EC), total dissolved solids (TDS), and chloride (Cl). Results revealed no significant relationship of groundwater quality as per the priority classification. Hierarchical cluster analysis clearly elucidated the variation of different water quality parameters being independent of the location of aqua farms indicating multiple sources for variation. From the spatial distribution map, it could be concluded that groundwater quality is independent of shrimp farming. ]"
9,https://www.sciencedirect.com/science/article/pii/S2772411522000246,[ Barriers and enablers for upscaling coastal restoration ],"[ Coastal restoration is often distrusted and, at best, implemented at small scales, which hampers its potential for coastal adaptation. Present technical, economic and management barriers stem from sectoral and poorly coordinated local interventions, which are insufficiently monitored and maintained, precluding the upscaling required to build up confidence in ecosystem restoration. The paper posits that there is enough knowledge, technology, financial and governance capabilities for increasing the pace and scale of restoration, before the onset of irreversible coastal degradation. We propose a systemic restoration, which integrates Nature based Solutions (NbS) building blocks, to provide climate-resilient ecosystem services and improved biodiversity to curb coastal degradation. The result should be a reduction of coastal risks from a decarbonised coastal protection, which at the same time increases coastal blue carbon. We discuss barriers and enablers for coastal adaptation-through-restoration plans, based on vulnerable coastal archetypes, such as deltas, estuaries , lagoons and coastal bays. These plans, based on connectivity and accommodation space, result in enhanced resilience and biodiversity under increasing climatic and human pressures. The paper concludes with a review of the interconnections between the technical, financial and governance dimensions of restoration, and discusses how to fill the present implementation gap. ]"
