,link,Titles,Abstracts
0,https://www.sciencedirect.com/science/article/pii/S2352485522000251,[ Advances in the study of coastal processes in the continental Colombian Caribbean coast ],"[ This paper reviews the state of scientific knowledge on coastal processes in the continental Colombian Caribbean Coast. The covered topics include the research advances on estuarine dynamics , wave climate, and coastline evolution in the region. This review aims to offer an updated baseline on the topics and sites that have been more explored by coastal scientists and those who need more efforts in short- to mid-term. The extensive analysis of peer-reviewed literature carried out here shows that river mouths are the most studied coastal systems in the region, together with the coastal sectors near the largest cities. On the contrary, national parks and pristine areas with high environmental value are barely studied. Finally, a vision from the author’s perspective on important physical-coastal and transdisciplinary issues to be addressed in the upcoming years is presented. ]"
1,https://www.sciencedirect.com/science/article/pii/S0272771420308982,[ Seabird influence on ecological processes in coastal marine ecosystems: An overlooked role? A critical review ],"[ Highlights Seabirds contribute to inter-habitat connectivity at global scale. Seabird influence on coastal systems is overlooked compared to terrestrial systems. Seabirds greatly influence ecological processes and functioning of recipient systems. Seabird functions influence the provision of many ecosystem services. More studies are needed to improve the knowledge in this field. , Seabirds are vital, but overlooked, components of coastal marine ecosystems and may connect the marine and terrestrial environment at a global scale, significantly contributing to inter-habitat connectivity and the provision of multiple ecosystem services. Although the ecological and functional role of birds in terrestrial areas , islands in particular, has been deeply studied since the last century, the same does not hold true for coastal marine areas. Given the importance of coastal areas for seabirds worldwide and, at the same time, the high vulnerability of both, looking into the role of seabirds in influencing the ecosystem functioning in coastal areas is needed nowadays. Here, we review the current knowledge regarding the role of seabirds on coastal ecological processes giving particular emphasis on the linkage between the seabird functions that are crucial in influencing the ecological processes and the provision of ecosystem services, and disservices, for the human well-being. Seabirds can contribute to shaping coastal ecological processes and services in a multitude of ways, among which directly influencing trophic status , environmental contamination, biodiversity and food webs through trophic (bottom-up or top-down) and non-trophic processes. We identified areas for future research to further clarify this linkage and promote seabird conservation. ]"
2,https://www.sciencedirect.com/science/article/pii/S0012825217303161,[ Process-based indicators to assess storm induced coastal hazards ],"[ Storms are responsible for several hazards (e.g. overwash , erosion, inundation) in coastal areas, leading to the destruction of property and loss of life in populated areas. Various indicators are used to express potential storm impact and describe the associated hazards. The most commonly used indicators include either forcing parameters (e.g. wave height, sea level) or coastal morphologies (e.g. dune height or berm width). Whereas they do not represent the processes associated with storm induced hazards in coastal areas. Alternatively, a hazard could be better characterised if process-based indicators are used instead. Process-based indicators express the result of the forcing mechanisms acting over the coastal morphology and reflect both hydrodynamic and morphological characteristics. This work discusses and synthesizes the most relevant process-based indicators for sandy shores subject to overwash , erosion and inundation promoted by storms. Those include: overwash depth, potential and extent; shoreline , berm or dune retreat; vertical erosion; and inundation depth and extent. The selection of a reduced set of process-based indicators to identify coastal hazards induced by storms in sandy coasts will facilitate comparison of different coastal behaviours for distinct storm return periods, and help to optimise coastal management plans, thereby contributing to the reduction of coastal risks. ]"
3,https://www.sciencedirect.com/science/article/pii/S0964569113000367,[ Historical antecedents and local governance in the process of public policies building for coastal zone of Brazil ],"[ Brazil has a very big coastal zone of approximately 514.000 km 2 that embraces 397 municipalities in 17 coastal states. Its diversified area supports high variability of socio–economics activities leading to serious conflicts in terms of coastal space and resources competition in an intensive human occupation context. This paper describes the past and present processes of coastal planning in Brazil and its mechanism towards the establishment of a costal management mode, capable to assure the desired sustainable development of the coast. It explains the policy trajectory of coastal Brazil and the way in which it is intended to be integrated into the national socio-political system. The National Policy for Sea Resources (PNRM) was a significant advance in organizing the multiple uses of the coastal and marine zones of Brazil. Established in the 1980s, the PNRM has been reviewed bi-annually through new proposed action plans. The Brazilian Costal Management Plan is analyzed trying to highlight the role of coastal municipalities in the planning and management processes. The role of local communities and municipalities in building public policies and management processes is still weak in Brazil and possibly can be enhanced with a better evaluation model and increasing local participation. ]"
4,https://www.sciencedirect.com/science/article/pii/S0022169408005945,"[ Hydrochemical and isotopical evidence of ground water salinization processes on the coastal plain of Samborombón Bay, Argentina ]","[ Salinization in coastal areas of the province of Buenos Aires, Argentina, is a controlling factor of water quality, and limits its exploitation for human uses and local ecological values. Coastal plains such as the one in the southern part of Samborombón Bay have a tidal morphology consisting of fine sediment deposits, tidal channels, and aeolian sand sheets, each of them playing a hydrological role. In this paper, we describe the hydrological processes in the Samborombón Bay coastal plain using hydrochemical and isotopical data to provide evidence of salinization processes. Specific ionic relationships for surface and ground water samples from each formation are differ from those of sea water. Isotopic data also reveal infrequent participation of sea water in the coastal area water samples, showing an evaporation trend in both surface and ground water. We conclude that salinization has its origin in the occurrence of gypsum and halite, as well as other chlorides, from the coastal plain deposits. Rainfall recharge, continental water inputs, evaporation and long residence times define the hydrochemical and isotopical features of ground water, which shows no signs of present sea water contribution. Sand sheets constitute local aquifers with lower salinity content. Continental surface waters, as well as rainfall drainage via tidal channels, have a dominant effect on surface water hydrochemistry notwithstanding tidal oscillations. Exploitation of water resources is thus limited to regionally extended aeolian sand sheet formations and to surface waters, specifically those related to contributions of freshwater discharge from inland areas. ]"
5,https://www.sciencedirect.com/science/article/pii/S0169555X11005630,"[ Coastal barriers — Nomenclature, processes, and classification issues ]","[ The designation “coastal barrier”, related terms and their varied interpretations, and critical concepts in coastal plain and nearshore geology, underwent numerous reincarnations over the years. This designation was first applied to shore-parallel sand and gravel-built ocean-front islands and spits that separate open marine environments from paralic inshore environments that they shelter. A more recently recognized third category includes mainland strandplain, chenier, and dunefield barriers, either as original components of mainland coasts or subsequently welded to the coastal plain. A parallel but closely related terminology, developed mostly in Australia and Brazil, identifies several specific process categories recognizable in the three basic barrier groups. In the absence of lagoons and tidal wetlands, shore ridges that front and are contiguous with the mainland coastal plain have been mistakenly assigned to the barrier island category. Greatly diminished wave energy and consequently minor littoral drift volumes account for the relative rarity and much smaller dimensions of prograded landforms in estuarine islands and bay shore beaches in paralic-inshore basins. Due to wave and related littoral drift processes, however diminished in comparison with open marine shores, morphological similarities between aggraded landforms of open marine through estuarine settings are to be expected. However, the multitude of proposed “fetch-limited”, diminished wave energy estuarine islands, characterized by diminutive narrow beaches, sand spits, even occasional small dunes, and miniature strandplains, lack the essential functional attributes intrinsic to true barrier islands. While barrier islands may form even on relatively low wave energy and/or sediment-deficient marine shores, the term is inappropriate for islands located in low-energy paralic basins, including estuaries, or in coastal plains where frontal shore ridges are not backed by lagoons. Landforms erroneously ascribed in a variety of facies settings as barrier islands or islands frequently are mainland-attached beach ridge plains or beach-fringed marshlands instead. Narrow marshland beaches and mainland strandplain barriers are segmented into short islands by intervening narrow tidal creeks, fluvial distributary channels, or storm cuts that separate them. Improved fundamental and functional definitions of barrier islands, their comparison with the many genetic categories of islands and mainland shore beaches found in estuarine basins and wetlands should lead to a better understanding of paralic island evolution processes on the global scale. ]"
6,https://www.sciencedirect.com/science/article/pii/S0025326X22004611,"[ Sources, behaviors, transformations, and environmental risks of organophosphate esters in the coastal environment: A review ]","[ Highlights The coastal environment is an important sink of organophosphate esters (OPEs). OPEs concentrations in the coastal environment are much higher than open ocean. OPEs exist in various environmental media including air, seawater, and sediment. The bioaccumulation of OPEs has been observed in coastal biota. OPEs can be distributed remotely through atmospheric and ocean transports. , The rapid growth in the global production of organophosphate esters (OPEs) has resulted in their high environmental concentrations. The low removal rate of OPEs makes the effluents of wastewater treatment plants be one of the major sources of OPEs. Due to relatively high solubility and mobility, OPEs can be carried to the coastal environment through river discharge and atmospheric deposition . Therefore, the coastal environment can be an important OPE sink. Previous studies have shown that OPEs were widely detected in coastal atmospheres, water, sediments, and even aquatic organisms. OPEs can undergo various environmental processes in the coastal environment, including adsorption/desorption, air–water exchange, and degradation. In addition, bioaccumulation of OPEs was observed in coastal biota but current concentrations would not cause significant ecological risks. More efforts are required to understand the environmental behaviors of OPEs and address resultant environmental and health risks, especially in the complicated environment. ]"
7,https://www.sciencedirect.com/science/article/pii/S1463500322001378,[ Hydrodynamic modelling in marginal and coastal seas — The case of the Adriatic Sea as a permanent laboratory for numerical approach ],"[ Highlights An overview of the present state of the art in coastal and marginal seas hydrodynamic modelling. The semi-enclosed Adriatic Sea represents a natural long-standing laboratory for model development. A set of examples that can be used as guidelines for different model applications. A look and a prospect for the corresponding possible future developments. , Understanding the water circulation in oceans and coastal seas is among the key topics of oceanographic and climate research. Hydrodynamic studies form the basis for many oceanographic subjects, whether sediment transport , morphology, water quality, ecological and climate changes are being investigated. Hydrodynamic modelling of oceans and coastal seas has become a fundamental tool for describing the dynamics of marine environments, revealing the human impact on the sea and promoting sustainable development of marine resources. By complementing – through data assimilation – more and more diffuse and integrated global and regional observing systems (composed of coastal gauges, moorings, buoys, satellites, drifters), hydrodynamic models provide a deterministic 4D view of the ocean state. In this context, the semi-enclosed Adriatic Sea represents a natural long-standing laboratory for hydrodynamic modelling. The peculiar historical, morphological and oceanographic characteristics of this basin and its complex coastline stimulated over decades the development and application of several ocean and coastal models. In this work, we review different aspects of hydrodynamic modelling covered by the literature, highlighting the wide variety of model applications carried out in the Adriatic Sea which could serve as examples for semi-enclosed, marginal and coastal seas worldwide. Within the scope of the review, we find that although significant progress has been made over the last few decades, most of the modelling studies underrate the importance of a detailed representation of the land-coastal-sea fluxes. We list a set of recommendations that can be used as guidelines for model implementation to broaden the applicability of hydrodynamic models in future studies. Finally, we discuss the remaining questions that still need to be further explored. ]"
8,https://www.sciencedirect.com/science/article/pii/S0272771421004212,[ Nutrient cycling in tropical and temperate coastal waters: Is latitude making a difference? ],"[ Highlights Temperature, sunlight, and precipitation drive differences in nutrient cycling between temperate and tropical systems. Key differences include patterns of river input fluxes, nitrogen cycling processes, and organic nutrient cycling. Therefore, models developed in temperate zones are not always transferable to the tropics. , Tropical coastal waters are highly dynamic and amongst the most biogeochemically active zones in the ocean. This review compares nitrogen (N) and phosphorus (P) cycles in temperate and tropical coastal waters. We review the literature to identify major similarities and differences between these two regions, specifically with regards to the impact of environmental factors (temperature, sunlight), riverine inputs, groundwater, lateral fluxes, atmospheric deposition , nitrogen fixation , organic nutrient cycling, primary production, respiration, sedimentary burial, denitrification and anammox. Overall, there are some similarities but also key differences in nutrient cycling, with differences relating mainly to temperature, sunlight, and precipitation amounts and patterns. We conclude that due to the differences in biogeochemical processes, we cannot directly apply cause and effect relationships and models from temperate systems in tropical coastal waters. Our review also highlights the considerable gaps in knowledge of the biogeochemical processes of tropical coastal waters compared with temperate systems. Given the ecological and societal importance of tropical coastal waters, we hope that highlighting the differences and similarities to temperate systems as well as the existing gaps, will inspire further studies on their biogeochemical processes. Such knowledge will be essential to better understand and forecast impacts on tropical coastal nutrient cycling at local, regional, and global scales. ]"
9,https://www.sciencedirect.com/science/article/pii/S0964569121003999,[ Exploring space geodetic technology for physical coastal vulnerability index and management strategies: A review ],"[ Sustaining coastal ecosystems from the impact of rising sea levels is vital since they offer environmental services that are considered critical for humans’ well-being. The Coastal Vulnerability Index (CVI) is favoured in coastal hazard studies, as it provides a predictive approach to coastal changes through its simple numerical basis in classifying coastlines based on their potential to change. The recent widespread use of innovative technologies has contributed to accessible coastal components to investigate coastal hazards and analyse risk assessment. However, most of the studies related to CVI have rarely exploited these forms of technology despite being utilised in various geodetic applications. Hence, a comprehensive review is performed to evaluate the application of these technological advances, particularly on exploiting space geodetic technology to determine and classify coastal information from various analytical approaches. This paper systematised modern approaches utilizing space technology to form CVI to assess the significant processes affecting the vulnerability and evolution of coastal areas. It is envisaged that the exploitation of space technology will facilitate CVI development and promote effective coastal management strategies. ]"
